Name;Edition;GenKey;VLKey;Note
Windows 10 S;;3NF4D-GF9GY-63VKH-QRC3V-7QW8P;;Until 1803
Windows 10 Starter;Starter;D6RD9-D4N8T-RT9QX-YW6YT-FCWWJ;;
Windows 10 Starter N;StarterN;3NFXW-2T27M-2BDW6-4GHRV-68XRX;;
Windows 10 Home;Core;YTMG3-N6DKC-DKB77-7M9GH-8HVX7;TX9XD-98N7V-6WMQ6-BX7FG-H8Q99;
Windows 10 Home N;CoreN;4CPRK-NM3K3-X6XXQ-RXX86-WXCHW;3KHY7-WNT83-DGQKR-F7HPR-844BM;
Windows 10 Home Single Language;CoreSingleLanguage;BT79Q-G7N6G-PGBYW-4YWX6-6F4BT;7HNRX-D7KGG-3K4RQ-4WPJ4-YTDFH;
Windows 10 Home County Specific;CoreCountrySpecific;N2434-X9D7W-8PF6X-8DV9T-8TYMD;PVMJN-6DFY6-9CCP6-7BKTT-D3WVR;
TEST Core Connected;CoreConnected;GVYN6-BGJDK-RVPMY-YCX4G-D3V2V;DJMYQ-WN6HG-YJ2YX-82JDB-CWFCW;
TEST Core Connected N;CoreConnectedN;23TYN-4T6M8-J86QW-7F2RB-YWQGX;JQNT7-W63G4-WX4QX-RD9M9-6CPKM;
TEST CoreConnectedCountrySpecific;CoreConnectedCountrySpecific;97N7Q-YMY7Q-8MV3C-T97YT-PDJXD;FTNXM-J4RGP-MYQCV-RVM8R-TVH24;
TEST CoreConnectedSingleLanguage;CoreConnectedSingleLanguage;Q6MYN-Y8D89-GHVBR-KXTK3-RJQG6;QQMNF-GPVQ6-BFXGG-GWRCX-7XKT7;
TEST Core ARM;CoreARM;9V76T-NJ3VH-2D2WT-M84D4-F6Y9P;7NX88-X6YM3-9Q3YT-CCGBF-KBVQF;
Windows 10 Pro;Professional;VK7JG-NPHTM-C97JM-9MPGT-3V66T;W269N-WFGWX-YVC9B-4J6C9-T83GX;
Windows 10 Pro N;ProfessionalN;2B87N-8KFHP-DKV6R-Y2C8J-PKCKT;MH37W-N47XK-V7XM9-C7227-GCQG9;
Windows 10 Pro S;ProfessionalS;3NF4D-GF9GY-63VKH-QRC3V-7QW8P;NFDD9-FX3VM-DYCKP-B8HT8-D9M2C;"Same key as ""10 S""?"
Windows 10 Pro S N;ProfessionalSN;KNDJ3-GVHWT-3TV4V-36K8Y-PR4PF;8Q36Y-N2F39-HRMHT-4XW33-TCQR4;
